"","time","val.Sub_metering_1","val.Sub_metering_2","val.Sub_metering_3","val.Other_Equipment","val.EnergyConsumed"
"1",2007,56.433,79.274,329.611,684.969166666667,1150.28716666667
"2",2007.08333333333,47.584,64.604,270.308,559.086966666667,941.582966666667
"3",2007.16666666667,60.758,104.707,289.293,523.8083,978.5663
"4",2007.25,42.089,38.461,190.571,323.8178,594.9388
"5",2007.33333333333,75.737,72.141,229.448,356.2738,733.5998
"6",2007.41666666667,59.673,69.945,188.744,275.723733333333,594.085733333333
"7",2007.5,43.052,56.14025,155.15625,243.495266666667,497.843766666667
"8",2007.58333333333,36.251,49.675,225.442,256.128166666667,567.496166666667
"9",2007.66666666667,52.841,75.28,225.358,344.226733333333,697.705733333333
"10",2007.75,43.218,87.937,256.8215,434.100116666667,822.076616666667
"11",2007.83333333333,50.825,73.666,299.708,507.838366666667,932.037366666667
"12",2007.91666666667,74.09,82.931,362.423,690.6481,1210.0921
"13",2008,61.761,62.912,312.192,649.3656,1086.2306
"14",2008.08333333333,40.231,56.646,255.97,469.452666666667,822.299666666667
"15",2008.16666666667,63.11,79.22,278.606,504.1414,925.0774
"16",2008.25,47.08,70.929,296.719,389.9232,804.6512
"17",2008.33333333333,53.084,58.89,290.105,358.3376,760.4166
"18",2008.41666666667,68.728,63.437,289.825,294.694933333333,716.684933333333
"19",2008.5,47.313,43.861,227.909,271.3644,590.4474
"20",2008.58333333333,3.873,22.785,78.657,100.860366666667,206.175366666667
"21",2008.66666666667,52.376,44.634,285.371,329.7454,712.1264
"22",2008.75,44.093,63.321,276.712,462.216066666667,846.342066666667
"23",2008.83333333333,58.067,55.927,280.735,604.1882,998.9172
"24",2008.91666666667,45.109,39.48275,308.43575,555.739716666667,948.767216666667
"25",2009,74.653,72.952,329.623,572.030633333333,1049.25863333333
"26",2009.08333333333,47.098,50.684,296.2,443.633433333333,837.615433333333
"27",2009.16666666667,64.691,48.383,328.733,470.581166666667,912.388166666667
"28",2009.25,54.506,52.636,306.666,405.7481,819.5561
"29",2009.33333333333,43.57,50.1,311.455,349.1919,754.3169
"30",2009.41666666667,31.362,29.766,260.625,244.051633333333,565.804633333333
"31",2009.5,18.226,42.498,187.943,211.3084,459.9754
"32",2009.58333333333,33.546,39.14175,195.154,223.179908333333,491.021658333333
"33",2009.66666666667,52.079,46.15,296.301,316.0842,710.6142
"34",2009.75,54.2345,53.704,327.447,415.136033333333,850.521533333333
"35",2009.83333333333,60.446,53.473,335.548,468.376166666667,917.843166666667
"36",2009.91666666667,57.801,53.492,383.945,519.908033333333,1015.14603333333
"37",2010,53.887,56.568,395.949,488.884233333333,995.288233333333
"38",2010.08333333333,49.27,53.592,411.733,410.021866666667,924.616866666667
"39",2010.16666666667,35.089,60.802,324.312,385.5342,805.7372
"40",2010.25,38.196,36.511,336.051,328.941133333333,739.699133333333
"41",2010.33333333333,48.108,52.411,364.619,349.6478,814.7858
"42",2010.41666666667,65.349,47.679,306.934,276.597033333333,696.559033333333
"43",2010.5,18.102,34.355,192.916,292.9081,538.2811
"44",2010.58333333333,12.499,26.987,160.201,181.1985,380.8855
"45",2010.66666666667,36.865,32.508,257.911,286.867733333333,614.151733333333
"46",2010.75,48.199,60.24,315.67,440.8468,864.9558
"47",2010.83333333333,46.162,42.282,247.113,407.749466666667,743.306466666667
